trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
119,False,"{'a': 0.3809999999999999, 'e': 0.6212634822474616}",30,17,-18.193660119404843,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
120,False,"{'a': 0.3799999999999999, 'e': 0.6187833918061408}",20,0,-116.69881838706658,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
121,False,"{'a': 0.3789999999999999, 'e': 0.6163132019122897}",30,0,-46.26402029474914,"{0: 23, 1: 2, 2: 3, 3: 2, 4: 0}",1
122,False,"{'a': 0.3779999999999999, 'e': 0.6138528730428171}",25,0,-120.67079666799259,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 3}",0
123,False,"{'a': 0.3769999999999999, 'e': 0.6114023658324087}",20,8,-86.53240914794017,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 2}",1
124,False,"{'a': 0.3759999999999999, 'e': 0.6089616410728969}",25,12,-13.29159233821684,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
125,False,"{'a': 0.3749999999999999, 'e': 0.6065306597126334}",25,0,-10.12920707355023,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
126,False,"{'a': 0.3739999999999999, 'e': 0.6041093828558647}",25,3,-104.81321773012502,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 2}",1
127,False,"{'a': 0.3729999999999999, 'e': 0.6016977717621094}",25,5,-29.181746878357313,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",1
128,False,"{'a': 0.3719999999999999, 'e': 0.5992957878455384}",20,0,-137.4814480698651,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 3}",0
129,False,"{'a': 0.3709999999999999, 'e': 0.596903392674358}",25,0,-94.31362598525736,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
130,False,"{'a': 0.3699999999999999, 'e': 0.5945205479701944}",30,22,-24.913599305541332,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
131,False,"{'a': 0.3689999999999999, 'e': 0.5921472156074813}",20,11,-8.515668365322478,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
132,False,"{'a': 0.3679999999999999, 'e': 0.5897833576128504}",25,8,-57.357875689485795,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 1}",1
